NPC,NPC Lat,NPC Long
Bukit Merah East Neighbourhood Police Centre,1.2784826110588,103.839416185126
Marina Bay Neighbourhood Police Centre,1.27473549954701,103.848994254645
Rochor Neighbourhood Police Centre,1.30764884904879,103.854270715559
Bukit Merah West Neighbourhood Police Centre,1.28560832622487,103.823400103779
Clementi Neighbourhood Police Centre,1.32142869120604,103.760349840184
Jurong East Neighbourhood Police Centre,1.34012646649154,103.737228213877
Queenstown Neighbourhood Police Centre,1.2883831195166,103.802858171683
Bishan Neighbourhood Police Centre,1.3578059845284,103.84770931156
Bukit Timah Neighbourhood Police Centre,1.32272331421239,103.812409789122
Kampong Java Neighbourhood Police Centre,1.31204343396145,103.846482122063
Orchard Neighbourhood Police Centre,1.29898816276666,103.839841861319
Toa Payoh Neighbourhood Police Centre,1.33462578879451,103.850467030457
Ang Mo Kio North Neighbourhood Police Centre,1.38500972217704,103.845095080578
Ang Mo Kio South Neighbourhood Police Centre,1.36991000401091,103.851653513742
Hougang Neighbourhood Police Centre,1.37430989312068,103.884984408651
Punggol Neighbourhood Police Centre,1.39783966719494,103.913886182809
Sembawang Neighbourhood Police Centre,1.44527776505729,103.81964653339
Sengkang Neighbourhood Police Centre,1.3927855958876,103.893906098217
Serangoon Neighbourhood Police Centre,1.35201826420361,103.870532534129
Yishun North Neighbourhood Police Centre,1.38500972217704,103.845095080578
Yishun South Neighbourhood Police Centre,1.36991000401091,103.851653513742
Bedok Neighbourhood Police Centre,1.33270940925778,103.937061569944
Changi Neighbourhood Police Centre,1.34455386840432,103.954830292302
Geylang Neighbourhood Police Centre,1.31096650009374,103.88613694635
Marine Parade Neighbourhood Police Centre,1.30628790081761,103.914521593074
Pasir Ris Neighbourhood Police Centre,1.36834910753861,103.959595073675
Tampines Neighbourhood Police Centre,1.34624760033141,103.938701810676
Bukit Batok Neighbourhood Police Centre,1.3491092097976,103.758521687388
Bukit Panjang Neighbourhood Police Centre,1.38688900135978,103.771719585228
Choa Chu Kang Neighbourhood Police Centre,1.39480564592115,103.744971294739
Jurong West Neighbourhood Police Centre,1.3493325212337,103.714456224793
Nanyang Neighbourhood Police Centre,1.35088682996153,103.702111120107
Woodlands Neighbourhood Police Centre,1.43884664493599,103.802386612865
Woodlands East Neighbourhood Police Centre,1.43888614836259,103.802364767691
Woodlands West Neighbourhood Police Centre,1.43349706957174,103.778858283815
